PRDCTS_ID;PRDCT;PRDCT_DSCR;PRDCT_BASE_QTY;PRDCT_BASE_QTY_UNT
61115;10010115;Product 10010115;1000.00;KOM
61116;1904302;Product 1904302;1000.00;KOM
61117;1904019;Product 1904019;1000.00;KOM
61118;1902822;Product 1902822;1000.00;KOM
61119;1904833;Product 1904833;1000.00;KOM
61120;10010361;Product 10010361;1000.00;KOM
61121;10010362;Product 10010362;1000.00;KOM
61122;10010363;Product 10010363;1000.00;KOM
61123;10010352;Product 10010352;1000.00;KOM
61124;10010231;Product 10010231;1000.00;KOM
61125;1086928;Product 1086928;1000.00;KOM
61126;1902156;Product 1902156;1000.00;KOM
61127;1086910;Product 1086910;1000.00;KOM
